case_id,year,year,month,day,hour,minute,county,county_name,city,city_name,latitude,longitude,fatalities,route_type,roadway,functional_system,first_harmful_event,lighting,weather
470083,2016,2016,2,14,20,30,147,ROBERTSON (147),0,NOT APPLICABLE,36.60861944,-87.1163,1,U.S. Highway,US-41 SR-11,Minor Arterial,Tree (Standing Only),Dark - Not Lighted,Sleet or Hail
470084,2016,2016,1,14,20,3,37,DAVIDSON (37),1760,NASHVILLE,36.14296944,-86.62688889,1,Local Street - Municipality,BELL RD,Minor Arterial,Motor Vehicle In-Transport,Dark - Lighted,Clear
470085,2016,2016,2,13,11,56,71,HARDIN (71),0,NOT APPLICABLE,35.07395,-88.3402,1,County Road,CR-CHILDERS HILL DR,Local,Tree (Standing Only),Daylight,Clear
470086,2016,2016,2,11,99,99,123,MONROE (123),0,NOT APPLICABLE,35.28879722,-84.48493611,1,County Road,CR-BULLET CREEK RD,Local,Rollover/Overturn,Dark - Unknown Lighting,Clear
470087,2016,2016,2,19,21,5,157,SHELBY (157),1620,MEMPHIS,35.21366667,-89.91662778,1,State Highway,SR-14 AUSTIN PEAY HWY,Principal Arterial - Other,Motor Vehicle In-Transport,Dark - Lighted,Clear
470088,2016,2016,2,20,15,51,93,KNOX (93),0,NOT APPLICABLE,35.89396944,-83.80935,3,U.S. Highway,US-441 SR-71 CHAPMAN HWY,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Cloudy
470089,2016,2016,2,21,3,0,157,SHELBY (157),0,NOT APPLICABLE,35.15880556,-89.709675,1,County Road,CR-PISGAH RD,Local,Tree (Standing Only),Dark - Not Lighted,Clear
470090,2016,2016,2,14,12,38,43,DICKSON (43),390,CHARLOTTE,36.17145,-87.34683889,1,State Highway,SR-47,Minor Arterial,Motor Vehicle In-Transport,Daylight,Rain
470091,2016,2016,2,15,8,17,93,KNOX (93),0,NOT APPLICABLE,36.15553056,-83.8382,1,State Highway,SR-131 TAZEWELL PK,Major Collector,Motor Vehicle In-Transport,Daylight,Snow
470092,2016,2016,1,30,12,46,37,DAVIDSON (37),1760,NASHVILLE,36.24101111,-86.72341944,1,U.S. Highway,US-31E SR-6 GALLATIN PK,Principal Arterial - Other,Motor Vehicle In-Transport,Daylight,Clear
470093,2016,2016,2,2,9,45,113,MADISON (113),0,NOT APPLICABLE,35.66856944,-88.6797,1,County Road,CR- LIBERTY RD,Local,Embankment,Daylight,Cloudy
470094,2016,2016,2,20,18,0,157,SHELBY (157),1620,MEMPHIS,35.04611111,-89.86631944,1,Local Street - Municipality,HICKORY HILL DR,Minor Arterial,Pedestrian,Dusk,Clear
470095,2016,2016,2,21,19,36,1,ANDERSON (1),0,NOT APPLICABLE,36.06558889,-84.12991111,1,U.S. Highway,US-25W SR-9 CLINTON HWY/CLINCH,Principal Arterial - Other,Pedestrian,Dark - Not Lighted,Rain
470096,2016,2016,2,19,16,41,155,SEVIER (155),0,NOT APPLICABLE,35.89811944,-83.70723056,1,State Highway,SR-338 BOYDS CREEK HWY,Minor Arterial,Pedalcyclist,Daylight,Clear
470097,2016,2016,1,21,15,53,37,DAVIDSON (37),1760,NASHVILLE,36.01433889,-87.04043056,1,State Highway,SR-96/100,Minor Arterial,Tree (Standing Only),Daylight,Cloudy
470098,2016,2016,2,25,17,0,107,MCMINN (107),0,NOT APPLICABLE,35.36556111,-84.81766944,1,County Road,CR-48,Local,Tree (Standing Only),Daylight,Cloudy
470099,2016,2016,2,23,18,18,93,KNOX (93),1300,KNOXVILLE,35.97368889,-83.92125,1,Local Street - Municipality,N CENTRAL ST,Minor Arterial,Pedestrian,Dark - Lighted,Rain
470100,2016,2016,1,6,2,30,157,SHELBY (157),1620,MEMPHIS,35.06694722,-89.84420556,1,State Highway,SR-385 BILL MORRIS PKWY,Principal Arterial - Other Freeways and Expressways,Motor Vehicle In-Transport,Dark - Lighted,Clear
470101,2016,2016,2,14,9,38,183,WEAKLEY (183),0,NOT APPLICABLE,36.15795,-88.76521111,1,State Highway,SR-124,Major Collector,Bridge Rail (Includes parapet),Daylight,Sleet or Hail
470102,2016,2016,2,15,12,30,45,DYER (45),0,NOT APPLICABLE,35.97456944,-89.40566111,1,County Road,CR-UNIONVILLE RD,Minor Collector,Ditch,Daylight,Cloudy
470103,2016,2016,2,24,99,99,161,STEWART (161),0,NOT APPLICABLE,36.40561111,-87.87278889,1,County Road,CR-PARKER LANE RD,Local,Tree (Standing Only),Unknown,Rain
470104,2016,2016,2,24,19,4,93,KNOX (93),0,NOT APPLICABLE,36.15348056,-83.73448889,2,County Road,CR-EMORY RD,Local,Culvert,Dark - Lighted,Rain
470105,2016,2016,2,27,12,0,149,RUTHERFORD (149),0,NOT APPLICABLE,35.93878056,-86.44291111,1,County Road,CR-SULPHUR SPRINGS RD,Minor Collector,Motor Vehicle In-Transport,Daylight,Clear
