mstrrecnbr,collision_ts,year,county,countystat,crash,crash_type,fatalities,non_motorists,commercial,fatal_c,nonmotor_c,truck_c,fatalc,serious_injuries,ped,bike,lighting,weather,first_harmful_event,latitude,longitude,in_city,src_layer
102683648,2020-03-18,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,,,,36.05277,-86.77516,False,Crashes_MPO_2020
102683704,2020-03-18,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Fog,Other Non-Collision,36.02691,-86.68084,False,Crashes_MPO_2020
102683741,2020-03-18,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04537,-86.71326,False,Crashes_MPO_2020
102683811,2020-03-18,2020,Williamson,,1.0,Suspected Minor Injury,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Cloudy,Parked Motor Vehicle,35.92429,-86.80069,False,Crashes_MPO_2020
102683829,2020-03-19,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Rain,Motor Vehicle-In-Transport On Same Roadway,36.0401,-86.67781,False,Crashes_MPO_2020
102683934,2020-03-15,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Mail Box,36.01768,-86.75873,True,Crashes_MPO_2020
102684238,2020-03-19,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Other Object,35.99197,-86.79867,True,Crashes_MPO_2020
102684620,2020-03-20,2020,Davidson,,1.0,Property Damage Under,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Parked Motor Vehicle,36.0404,-86.74358,False,Crashes_MPO_2020
102684841,2020-03-20,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Motor Vehicle-In-Transport On Same Roadway,36.03175,-86.78961,True,Crashes_MPO_2020
102684899,2020-03-20,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Cloudy,Standing Tree,35.97878,-86.75282,True,Crashes_MPO_2020
102684981,2020-03-20,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Ditch,36.04124,-86.82171,False,Crashes_MPO_2020
102685337,2020-03-21,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Clear,Mail Box,35.99129,-86.7608,True,Crashes_MPO_2020
102685414,2020-03-21,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Lighted,Clear,Impact Atten. Crash Cushion,36.03733,-86.71027,False,Crashes_MPO_2020
102685576,2020-03-22,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Motor Vehicle-In-Transport On Same Roadway,36.04528,-86.7141,False,Crashes_MPO_2020
102685667,2020-03-22,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Rain,Other Object,36.03926,-86.78276,False,Crashes_MPO_2020
102685806,2020-03-22,2020,Williamson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Dark-Not Lighted,Rain,Highway Traffic Sign Post,35.98068,-86.84317,False,Crashes_MPO_2020
102685820,2020-03-23,2020,Davidson,,1.0,Property Damage,0,0,,,,,0.0,0.0,0.0,0.0,Daylight,Clear,Deer,36.04599,-86.8567,False,Crashes_MPO_2020
